Year,Origin,Dest,count
2007,TPA,PBI,2
2007,HOU,TUL,2
2007,JAX,PHL,1
2008,PHX,SDF,1
2008,SJC,ONT,8
1987,MRY,LAX,16
1988,SYR,BUF,14
1989,IAH,MSY,8
1990,MIA,PIT,2
1992,PIT,SYR,18
2003,DFW,SFO,4
2007,LAS,RDU,1
2008,ISP,MCO,4
2008,LAS,ISP,1
2008,LAS,MAF,1
2008,MCO,PHL,5
2008,MDW,BHM,2
2008,MDW,RDU,4
2008,MSY,MDW,1
1993,CLT,RSW,10
1994,GSO,DCA,8
2000,AUS,PHX,124
2002,PHL,MCI,14
2003,BIL,DEN,1
2007,AUS,HRL,1
2008,LAX,SLC,4
2008,MCI,LAS,5
2008,OAK,PHX,6
2008,RSW,MDW,1
1987,SFO,BUR,66
1990,PSP,SFO,20
2001,MHT,PIT,6
2004,ATL,DEN,12
2006,PIT,LAS,1
2007,TPA,RDU,2
2007,LAS,BHM,1
2007,LAS,SAN,6
2007,LBB,AUS,2
2008,MCI,LAX,4
1991,PIT,BTV,7
1992,MIA,MCO,5
1993,PIT,BDL,15
1993,IND,DCA,2
1994,MHT,PIT,2
2006,DCA,TPA,5
2006,PHX,DCA,3
2007,LAS,STL,2
2007,LAX,TUS,5
2008,JAX,HOU,1
2008,LAS,RDU,2
2008,SFO,LAS,7
1990,PIT,MCO,25
1990,IND,LAS,25
1991,DCA,PIT,8
1992,JAX,CLT,6
2004,ORD,STL,3
2007,ABQ,SAN,2
2007,BNA,MCO,4
2007,BWI,BDL,7
2008,LAS,BDL,1
2008,LAS,LBB,1
2008,OAK,HOU,1
2008,ORF,LAS,1
1991,EWR,PIT,16
1993,LAX,PHL,27
2006,CHS,CLT,4
2006,RNO,PHX,1
2007,BDL,MDW,2
2008,MSY,TPA,3
2008,PBI,TPA,2
2008,PHX,DEN,4
2008,PHX,IND,2
1987,SFO,GEG,25
1988,EWR,ROA,13
1991,STL,PIT,24
1991,ACY,PIT,10
1994,PIT,BWI,40
1996,BUR,PHX,141
2005,DSM,DEN,5
2006,LAS,JFK,3
2007,BDL,BNA,1
2007,ELP,ABQ,2
2008,MCI,PDX,1
2008,MCO,SAT,1
2008,PHX,LAX,12
1993,EWR,BUF,2
2000,CLE,PHX,50
2006,ORD,CLT,4
2007,TPA,PHL,1
2008,OAK,RNO,4
1991,AVP,PIT,14
1997,CLT,PHX,20
2003,DEN,SFO,2
2006,DEN,CLT,4
2006,SJU,CLT,1
2008,LAS,BUF,1
2008,LAS,OMA,2
2008,SJC,SEA,3
1989,IAH,SFO,10
1991,PIT,SWF,21
1991,SAN,SJC,5
1994,IAH,PIT,10
2002,ROC,PHL,8
2006,LAS,ORD,2
2006,PHL,ALB,2
2007,BNA,SEA,1
2007,DEN,MCO,2
2007,LAS,PHL,1
2007,MCO,CMH,1
2007,MDW,ISP,5
2008,JAX,BHM,1
2008,LAS,CLE,1
2008,LIT,BWI,1
2008,SAN,BNA,1
1989,ORD,DEN,135
1992,TUS,PHX,18
1994,CLT,ORF,9
2001,CMH,LGA,17
2002,MHT,PHL,13
2006,BOS,PHX,2
2006,DCA,BNA,2
2006,PHL,MCI,1
2007,ABQ,OAK,3
2007,DEN,MCI,3
2007,HOU,BHM,1
2008,PHL,HOU,2
2008,PHL,PVD,5
2008,RSW,ISP,1
2008,SJC,MDW,1
1991,PIT,ACY,12
1992,PIT,PHL,20
2001,BUF,CLT,16
2006,CLT,IND,1
2008,RNO,LAX,3
1988,TUS,LAX,19
1991,RNO,SFO,2
1992,PHX,TUS,9
1994,MLB,CLT,7
2003,DEN,PDX,8
2006,PHL,LAX,3
1988,LGA,SYR,13
2004,DEN,GEG,13
2007,SMF,PHX,4
2007,STL,OMA,2
2007,BUF,PHX,1
2008,OMA,STL,1
2008,PDX,OAK,4
2008,PDX,SJC,4
2008,SDF,MCO,2
1988,MRY,LAX,2
1992,LAX,SFO,9
1994,SWF,PIT,11
2002,CLT,MCI,7
2007,BNA,MCI,1
2007,GEG,SEA,3
2007,LAS,ORF,1
2007,LAS,SMF,5
2008,LAS,DEN,6
2008,MCO,CLE,1
2008,MHT,MDW,4
2008,OAK,BUR,13
2008,OKC,STL,2
2008,PHL,PIT,5
2008,SAN,TUS,3
1988,SYR,BWI,18
1988,BUR,SJC,16
1989,LIH,HNL,4
1989,ORD,PHX,3
1991,PIT,ORF,12
1992,BWI,ORF,1
2005,SMF,ORD,17
2006,PHL,PBI,2
2007,GEG,SLC,1
2008,LAS,SMF,7
2008,MCO,LAS,1
2008,RNO,SEA,1
1988,EWR,ORF,3
1990,MDT,PIT,25
1990,PHL,PIT,51
